stars,reviews,love,price
4.3807,457.0,15239.0,31.0
4.7049,3243.0,72496.0,40.0
4.2301,113.0,2595.0,48.0
4.3358,134.0,7006.0,82.0
3.9746,236.0,4716.0,69.0
4.5171,1754.0,36540.0,25.5
4.7059,17.0,1132.0,42.0
4.6179,492.0,5353.0,18.0
4.3186,857.0,12884.0,37.0
3.9111,90.0,1628.0,33.0
4.2319,138.0,2350.0,27.0
4.2964,921.0,12830.0,28.0
4.2609,46.0,1890.0,27.0
4.5,234.0,2858.0,30.0
4.1176,51.0,3569.0,45.0
4.3826,575.0,7482.0,39.0
4.4651,918.0,5589.0,17.0
4.6229,899.0,26084.0,29.0
4.58,1343.0,26902.0,94.0
4.4201,14320.0,254456.0,20.0
4.6444,45.0,1875.0,32.0
4.85,180.0,1351.0,60.0
4.2455,224.0,1720.0,26.0
4.1201,2081.0,26325.0,48.0
4.3698,411.0,15851.0,15.0
4.4547,552.0,7572.0,26.0
4.4452,310.0,6302.0,57.0
4.8148,27.0,6439.0,94.0
4.389,1789.0,28001.0,17.0
4.2984,2527.0,60627.0,22.0
3.8943,615.0,6469.0,18.5
4.2719,114.0,4094.0,78.0
4.0852,446.0,9164.0,42.0
3.7676,882.0,19683.0,38.0
4.2861,3876.0,48535.0,44.0
4.1683,695.0,7826.0,24.5
4.6252,571.0,9272.0,70.0
4.1171,111.0,6704.0,59.0
4.502,1016.0,16940.0,46.0
4.31,100.0,2168.0,30.0
4.5952,289.0,5188.0,50.0
4.4706,17.0,1090.0,114.0
4.3523,4423.0,82600.0,34.0
4.3357,694.0,20992.0,38.0
4.5822,864.0,11208.0,15.0
3.9118,68.0,3130.0,35.0
4.209,847.0,15168.0,34.0
4.1074,1443.0,10051.0,22.0
4.4236,569.0,10048.0,44.0
4.3077,117.0,2211.0,30.0
4.0522,115.0,1764.0,12.0
4.1189,412.0,7283.0,45.0
4.4082,392.0,5727.0,26.5
4.4302,86.0,2899.0,26.0
3.6677,984.0,16283.0,20.0
4.5159,347.0,3960.0,37.0
4.3293,164.0,4036.0,49.0
4.8145,124.0,1459.0,69.0
4.0,95.0,2534.0,42.0
4.4355,62.0,946.0,168.0
4.087,23.0,969.0,202.0
4.0625,16.0,360.0,179.0
3.619,21.0,753.0,108.0
3.68,25.0,2611.0,265.0
4.2074,270.0,4436.0,45.0
4.0964,83.0,3458.0,89.0
4.6542,694.0,16236.0,46.0
4.3846,91.0,1211.0,68.0
4.5485,1391.0,49092.0,73.0
4.2239,67.0,1505.0,110.0
4.4035,57.0,783.0,62.0
4.5895,1681.0,20899.0,7.0
3.2288,153.0,2155.0,28.0
4.6901,313.0,3355.0,87.0
4.7368,38.0,980.0,68.0
4.3726,526.0,5245.0,20.0
4.7294,85.0,1229.0,72.0
4.4081,223.0,3355.0,75.0
4.75,4.0,518.0,25.0
4.3622,566.0,7900.0,76.0
4.8294,252.0,3643.0,61.0
4.5745,47.0,645.0,67.0
4.156,327.0,12757.0,21.0
4.2097,124.0,3758.0,32.0
4.4128,1996.0,20997.0,25.0
4.6129,186.0,3615.0,19.0
4.4726,292.0,9333.0,50.0
3.1333,15.0,899.0,96.0
4.2489,470.0,12078.0,21.0
4.0701,214.0,2702.0,40.0
4.2381,21.0,793.0,73.0
4.5763,59.0,3097.0,45.0
4.4632,231.0,4912.0,36.0
4.3191,94.0,2970.0,57.0
4.4227,194.0,8711.0,60.0
4.2405,79.0,1771.0,60.0
4.446,287.0,18663.0,65.0
4.2697,1546.0,37000.0,57.0
3.9403,67.0,1879.0,52.5
4.3696,46.0,4364.0,65.0
4.2124,193.0,3374.0,25.0
4.5,74.0,2056.0,27.0
4.5912,137.0,3709.0,18.5
4.3915,189.0,4360.0,24.5
4.0324,309.0,5798.0,33.5
4.4655,116.0,3064.0,33.5
4.7387,375.0,8949.0,18.5
4.6067,300.0,8387.0,75.0
4.509,222.0,15102.0,57.0
4.2571,35.0,1146.0,98.0
4.4611,334.0,8598.0,36.0
3.7549,102.0,2394.0,54.5
4.0545,110.0,2000.0,54.5
4.1917,120.0,5398.0,22.0
4.5045,224.0,5397.0,32.0
4.8604,1239.0,34704.0,10.0
4.0129,932.0,8309.0,29.0
4.6353,11142.0,242561.0,20.0
4.1804,1275.0,31145.0,32.0
4.1074,149.0,2722.0,45.0
4.2539,256.0,2713.0,28.0
4.2629,232.0,4283.0,28.0
4.4409,254.0,3528.0,55.0
4.0,117.0,5674.0,34.0
4.4597,844.0,15765.0,58.0
4.4831,1215.0,8931.0,58.0
3.6292,89.0,10269.0,56.0
4.2708,192.0,3952.0,64.0
4.1312,3004.0,12288.0,28.5
4.2163,6120.0,88992.0,41.0
4.4738,3455.0,45051.0,34.0
4.2394,213.0,3986.0,50.0
4.5413,109.0,4638.0,20.0
4.3,90.0,2528.0,23.0
4.4457,92.0,1809.0,15.0
4.0761,460.0,6136.0,40.0
4.2566,152.0,1584.0,38.0
3.8,30.0,638.0,36.0
3.7175,1494.0,16798.0,21.0
5.0,1.0,250.0,125.0
4.8704,108.0,1286.0,88.0
4.8599,771.0,8418.0,72.0
4.2356,730.0,6405.0,30.0
4.0778,257.0,3288.0,48.0
4.4496,1537.0,19075.0,42.0
4.4444,684.0,22540.0,34.0
4.402,3184.0,33893.0,25.0
4.4242,785.0,18554.0,120.0
4.824,125.0,1597.0,24.0
4.4842,95.0,5873.0,29.0
4.4387,1883.0,95861.0,20.0
4.6194,2972.0,25858.0,28.0
4.1194,67.0,3587.0,95.0
4.1364,44.0,1388.0,90.0
4.4208,221.0,4482.0,49.5
3.809,89.0,1812.0,100.0
4.0682,264.0,6702.0,36.0
4.4342,76.0,4291.0,52.0
4.3471,170.0,3003.0,38.0
4.3682,220.0,8028.0,38.0
4.7572,346.0,4697.0,67.0
4.0455,66.0,1414.0,32.0
4.2,85.0,563.0,24.0
4.2755,1020.0,41709.0,33.0
4.2458,2038.0,49715.0,22.0
3.8138,247.0,2948.0,48.0
4.6,75.0,1292.0,52.0
3.9622,608.0,11078.0,23.0
4.4121,745.0,17646.0,16.5
3.9557,1308.0,20973.0,27.0
4.1886,806.0,16050.0,20.0
4.1707,410.0,7237.0,17.5
3.7401,404.0,11473.0,65.0
4.7423,97.0,1807.0,26.0
4.0495,1618.0,16313.0,29.0
4.328,186.0,6208.0,59.0
4.4706,51.0,1290.0,15.0
3.9437,302.0,6754.0,37.0
4.5423,852.0,8698.0,19.0
4.7143,28.0,394.0,92.0
4.2587,1751.0,27441.0,36.0
4.538,1671.0,54855.0,80.0
4.0721,1096.0,10887.0,60.0
4.2117,652.0,15432.0,34.0
4.4786,117.0,6784.0,58.0
4.5952,42.0,6976.0,36.0
4.5789,38.0,5768.0,36.0
4.2857,14.0,2553.0,36.0
4.7703,74.0,2603.0,65.0
4.4485,136.0,1776.0,15.0
4.5758,33.0,1330.0,15.0
4.4,15.0,706.0,15.0
4.4615,13.0,955.0,15.0
3.6923,13.0,624.0,60.0
4.4043,47.0,1181.0,15.0
4.2353,17.0,576.0,60.0
4.5352,1674.0,8492.0,17.0
4.6013,800.0,14981.0,94.0
4.5508,650.0,12497.0,45.0
4.2041,98.0,3115.0,110.0
4.5737,699.0,13774.0,120.0
4.399,406.0,8737.0,16.0
4.1233,446.0,4766.0,24.5
4.548,812.0,34019.0,62.0
4.3768,69.0,2525.0,20.0
4.0476,210.0,24507.0,74.0
4.4506,4110.0,34504.0,12.0
4.5867,75.0,916.0,80.0
4.2737,380.0,9380.0,26.0
4.4712,938.0,18468.0,28.0
4.0169,295.0,7403.0,35.0
4.0556,72.0,1755.0,67.0
4.1053,19.0,292.0,110.0
4.7171,350.0,5659.0,76.0
4.1947,226.0,3704.0,23.0
4.0491,468.0,7422.0,48.5
3.6606,274.0,5000.0,23.5
4.1739,46.0,604.0,125.0
4.0208,48.0,1063.0,85.0
4.3171,41.0,819.0,135.0
4.3118,1591.0,7976.0,25.0
4.6116,5682.0,57164.0,20.0
4.5051,9558.0,344241.0,21.0
4.0625,16.0,504.0,90.0
4.6429,28.0,1626.0,94.0
4.5714,21.0,601.0,95.0
4.8182,11.0,307.0,108.0
4.3805,1038.0,24516.0,55.0
4.3333,3.0,1419.0,55.0
4.4494,741.0,11250.0,39.0
4.4141,693.0,16884.0,30.0
4.2421,793.0,11225.0,19.0
3.6157,268.0,6497.0,57.0
4.3383,1797.0,18154.0,17.5
4.1566,1137.0,25848.0,7.0
4.1405,242.0,1129.0,46.0
4.1397,4710.0,43164.0,26.0
4.3321,1331.0,14853.0,28.0
4.499,2405.0,52290.0,39.0
3.7614,176.0,2900.0,52.5
4.7249,338.0,8022.0,34.0
3.6967,511.0,10761.0,28.0
4.3501,4538.0,127940.0,54.0
4.2848,1471.0,17897.0,30.0
4.2801,1278.0,32988.0,32.0
4.2632,1022.0,9677.0,69.0
4.4808,104.0,3065.0,115.0
4.2871,202.0,2590.0,45.0
4.4185,399.0,3798.0,45.0
3.5534,206.0,1297.0,100.0
4.4253,174.0,2577.0,45.0
4.1143,35.0,536.0,160.0
4.0345,29.0,413.0,290.0
4.3478,23.0,771.0,325.0
4.4651,43.0,974.0,160.0
4.4322,1511.0,19322.0,30.0
4.7526,97.0,970.0,68.0
4.3576,741.0,6559.0,28.0
4.2738,1176.0,15309.0,16.5
4.7059,68.0,1333.0,42.0
3.9865,74.0,1681.0,95.0
4.1289,954.0,6426.0,15.0
3.9463,298.0,3660.0,35.0
3.9778,135.0,1799.0,45.0
3.7881,1458.0,6293.0,28.5
4.5419,155.0,2916.0,13.0
3.7556,45.0,3158.0,39.0
4.5045,224.0,5631.0,23.0
4.3182,22.0,818.0,180.0
4.1974,152.0,1770.0,25.0
4.376,125.0,1707.0,38.0
4.2642,371.0,5676.0,45.0
4.0826,121.0,1616.0,52.0
4.4009,1499.0,16480.0,44.0
3.8431,51.0,1294.0,70.0
4.4516,31.0,2652.0,86.0
4.3659,276.0,3077.0,26.0
4.3333,48.0,372.0,86.0
4.5385,52.0,443.0,65.0
4.1775,293.0,7761.0,90.0
4.2481,661.0,36654.0,92.0
4.2047,2530.0,14192.0,23.0
4.5772,149.0,2913.0,32.0
4.1071,140.0,3697.0,26.0
4.4664,268.0,7906.0,26.0
4.4623,106.0,2927.0,39.0
4.0169,118.0,1875.0,9.0
4.3137,51.0,3670.0,30.0
4.44,50.0,926.0,30.0
4.3457,3714.0,99361.0,42.0
4.5193,6686.0,105662.0,48.0
4.2862,2505.0,14930.0,29.5
4.4366,1317.0,94854.0,20.0
4.6802,791.0,11210.0,10.0
4.3251,403.0,8568.0,42.0
4.3886,211.0,5084.0,82.0
3.8047,1439.0,13671.0,21.0
4.5083,242.0,22917.0,99.0
4.6513,1537.0,27790.0,76.0
4.0833,60.0,526.0,24.0
4.8182,242.0,3990.0,62.0
3.7467,537.0,2438.0,36.5
4.6067,150.0,2038.0,72.0
4.572,535.0,11534.0,74.0
4.2111,289.0,8676.0,65.0
4.1239,1267.0,14655.0,12.0
3.3333,3.0,2915.0,9.5
3.9821,168.0,1783.0,48.0
4.376,250.0,3348.0,48.0
4.5682,176.0,5252.0,90.0
4.7602,342.0,3183.0,67.0
4.2955,88.0,1799.0,34.0
4.384,263.0,14136.0,35.0
4.5393,89.0,1176.0,44.0
4.0779,77.0,1084.0,58.0
4.4677,434.0,19950.0,23.0
4.4919,248.0,2455.0,98.0
4.7394,142.0,1466.0,69.0
4.2021,188.0,3450.0,120.0
4.4444,117.0,865.0,59.0
4.4848,33.0,548.0,40.0
4.7222,18.0,536.0,40.0
4.6552,29.0,575.0,25.0
4.7903,62.0,921.0,25.0
4.7045,88.0,1113.0,25.0
4.7099,131.0,1725.0,25.0
2.5,2.0,124.0,80.0
4.0,3.0,275.0,110.0
4.8889,36.0,1475.0,120.0
4.7627,59.0,1087.0,120.0
4.5686,51.0,1028.0,60.0
4.7805,41.0,1374.0,60.0
3.8469,392.0,3517.0,45.0
4.0,11.0,2906.0,100.0
4.2603,146.0,2394.0,38.0
4.6667,9.0,2548.0,98.0
4.0362,304.0,8151.0,30.0
4.1696,1769.0,23325.0,40.0
4.3726,2488.0,25353.0,49.0
4.4845,452.0,6573.0,26.0
4.36,8159.0,37936.0,20.0
4.3404,94.0,2160.0,80.0
4.1231,65.0,487.0,89.0
4.5151,6181.0,220316.0,20.0
4.0843,451.0,22950.0,18.0
4.6482,850.0,29191.0,27.0
4.5491,1437.0,27511.0,29.0
3.6061,33.0,615.0,105.0
3.92,75.0,1339.0,69.0
4.6648,2539.0,108529.0,30.0
3.8455,110.0,1972.0,100.0
3.9598,547.0,10375.0,26.0
4.0,12.0,983.0,76.0
4.4131,1888.0,19790.0,50.0
4.5822,1326.0,15892.0,15.0
3.918,561.0,12459.0,22.0
4.3533,184.0,1770.0,75.0
3.8634,388.0,5696.0,38.0
4.2583,120.0,2317.0,36.0
4.3088,68.0,2791.0,46.0
3.8833,2940.0,74710.0,25.0
4.2701,211.0,4413.0,58.0
4.3279,2864.0,38308.0,34.0
3.8356,432.0,8438.0,23.0
4.0615,65.0,10708.0,19.0
4.0,78.0,1353.0,23.0
4.2115,156.0,4465.0,23.0
3.9786,140.0,1343.0,25.0
4.4074,27.0,831.0,210.0
4.2105,19.0,321.0,75.0
4.527,74.0,1219.0,155.0
4.0752,226.0,6471.0,65.0
4.1703,182.0,3134.0,36.0
4.2984,2148.0,38030.0,26.0
4.3414,454.0,7884.0,36.0
4.1548,562.0,9768.0,65.0
4.3939,363.0,10514.0,42.0
4.2287,341.0,8524.0,26.0
4.1055,379.0,8616.0,65.0
4.1507,73.0,952.0,34.0
4.4102,2038.0,43270.0,24.0
4.137,73.0,2343.0,150.0
3.9,60.0,1763.0,125.0
4.262,229.0,3507.0,75.0
4.3358,137.0,3277.0,65.0
4.3128,195.0,5718.0,35.0
4.524,271.0,5826.0,50.0
4.6517,933.0,22974.0,60.0
4.4903,206.0,5597.0,35.0
4.3054,203.0,3896.0,50.0
4.4352,108.0,5870.0,50.0
4.2951,288.0,5318.0,100.0
4.4251,167.0,8711.0,25.0
4.3937,414.0,1585.0,48.0
4.6089,179.0,2777.0,25.0
4.6169,248.0,2473.0,37.0
4.5609,665.0,18321.0,26.0
4.3713,342.0,6175.0,72.0
4.2613,199.0,3946.0,90.0
4.1812,149.0,3425.0,50.0
4.3182,66.0,947.0,15.0
4.6179,123.0,1223.0,89.0
4.1782,2087.0,33030.0,28.0
4.42,862.0,17405.0,51.0
3.712,566.0,4924.0,30.0
3.6656,622.0,9498.0,47.0
4.3673,373.0,23318.0,54.0
4.7561,41.0,2361.0,62.0
3.7895,19.0,885.0,40.0
3.9803,709.0,6257.0,29.5
4.3806,3765.0,125834.0,33.0
4.775,40.0,651.0,40.0
4.4353,255.0,482.0,19.0
3.773,3903.0,45700.0,14.0
4.5259,502.0,6079.0,62.0
4.3876,436.0,8620.0,19.5
4.616,698.0,10971.0,29.0
4.3706,742.0,6060.0,23.0
3.6915,1102.0,4644.0,23.0
4.7246,276.0,7280.0,44.0
4.4896,623.0,11702.0,26.0
4.8148,216.0,1191.0,79.0
4.6274,934.0,16889.0,29.0
4.0486,370.0,1966.0,48.0
3.8853,1229.0,9623.0,60.0
4.3853,7545.0,55960.0,28.5
4.2662,1980.0,56234.0,30.0
4.6579,4119.0,147764.0,36.0
3.9421,311.0,4166.0,48.0
4.1587,63.0,216.0,18.0
4.3662,71.0,394.0,20.0
4.2772,184.0,1500.0,18.0
4.2664,214.0,1818.0,20.0
3.8529,170.0,1090.0,26.0
3.5273,55.0,226.0,18.0
3.9672,61.0,234.0,20.0
3.5484,155.0,1040.0,26.0
4.3325,412.0,4199.0,26.0
4.0524,458.0,2987.0,20.0
4.2322,969.0,7430.0,26.0
3.9831,118.0,804.0,26.0
3.7867,75.0,699.0,26.0
3.8283,99.0,1095.0,20.0
4.3265,98.0,1624.0,52.0
3.9603,277.0,3433.0,26.0
3.6552,58.0,676.0,20.0
4.3125,112.0,1809.0,20.0
4.5556,468.0,12013.0,27.0
4.4177,316.0,4310.0,31.0
4.01,100.0,2080.0,60.0
4.3226,93.0,2201.0,110.0
4.3678,87.0,3123.0,115.0
4.811,254.0,3102.0,92.0
4.454,663.0,8700.0,19.0
4.4136,3559.0,50521.0,20.0
3.858,2374.0,21381.0,27.5
4.5,10.0,584.0,10.5
4.3292,1379.0,35466.0,20.0
4.557,79.0,5298.0,35.0
4.1132,707.0,10589.0,25.0
4.2054,516.0,9734.0,25.0
3.978,273.0,6353.0,25.0
3.5714,567.0,12657.0,17.5
4.4777,247.0,12063.0,23.0
4.4119,335.0,17734.0,32.0
4.1734,715.0,10051.0,42.0
4.2624,9826.0,249814.0,20.0
4.475,40.0,1292.0,100.0
4.6409,674.0,10106.0,79.0
4.8182,22.0,3869.0,100.0
4.273,381.0,5843.0,158.0
3.4046,613.0,3017.0,162.0
4.4914,637.0,7354.0,39.0
4.7719,57.0,1661.0,25.0
4.2347,3562.0,88502.0,47.0
4.5308,211.0,2974.0,30.0
4.1508,378.0,7436.0,48.5
4.3606,477.0,4371.0,22.0
4.0553,217.0,4480.0,67.0
4.3764,2649.0,47959.0,20.0
3.4075,481.0,9082.0,26.0
4.5964,5193.0,99049.0,30.0
3.3882,425.0,10356.0,36.0
4.3814,97.0,4038.0,52.0
4.2664,229.0,3114.0,26.0
3.7104,366.0,10455.0,25.0
4.3354,2794.0,88638.0,12.5
4.125,8.0,2014.0,55.0
4.5152,33.0,1396.0,49.0
4.3505,408.0,10603.0,65.0
4.3448,29.0,1034.0,130.0
4.8333,6.0,528.0,250.0
4.3745,697.0,12602.0,29.0
3.7792,2328.0,23017.0,26.0
4.5714,133.0,6790.0,78.0
4.6115,139.0,10618.0,46.0
4.4936,312.0,11528.0,28.0
4.3956,91.0,3299.0,25.0
4.439,893.0,14042.0,22.0
4.4087,8570.0,200734.0,22.0
3.9491,216.0,4181.0,61.0
4.3148,1115.0,10152.0,60.0
4.2806,1112.0,40842.0,30.0
4.153,1209.0,6785.0,75.0
4.1276,2163.0,13132.0,27.0
4.4721,2186.0,55753.0,32.0
4.2221,698.0,6419.0,17.5
4.3766,640.0,18132.0,34.0
3.996,503.0,7657.0,36.0
4.6303,3681.0,90860.0,85.0
4.5853,1384.0,54296.0,105.0
4.4149,94.0,1517.0,28.0
4.5298,285.0,4466.0,38.0
4.7245,657.0,36316.0,44.0
4.7667,30.0,395.0,25.0
4.7358,53.0,763.0,25.0
4.6667,12.0,254.0,40.0
3.9375,16.0,532.0,60.0
4.156,109.0,1913.0,150.0
4.375,80.0,2404.0,8.5
4.2931,58.0,3169.0,30.0
4.6903,113.0,4368.0,72.0
4.1511,450.0,7470.0,22.0
3.8017,822.0,11063.0,30.0
4.2764,123.0,2784.0,80.0
4.5,26.0,1881.0,30.0
4.8254,63.0,9300.0,100.0
4.489,319.0,5276.0,89.0
4.5139,144.0,3554.0,72.0
4.7049,122.0,20970.0,78.0
4.4632,136.0,3918.0,60.0
4.0196,204.0,3682.0,56.0
4.1822,1301.0,17618.0,28.0
3.8187,673.0,22014.0,20.0
4.6154,13.0,805.0,130.0
4.434,53.0,1599.0,23.0
4.6711,76.0,2424.0,20.0
3.702,302.0,3781.0,19.0
4.5455,22.0,370.0,69.0
3.9014,497.0,11026.0,60.0
4.8,15.0,853.0,23.0
4.1765,34.0,838.0,20.0
4.7753,89.0,2982.0,23.0
4.0545,220.0,1661.0,45.0
4.3036,112.0,6145.0,43.0
4.3051,708.0,9448.0,28.0
4.3717,417.0,4854.0,26.0
4.489,409.0,6797.0,100.0
4.56,25.0,495.0,66.0
4.4421,527.0,9903.0,149.0
4.6858,1884.0,52308.0,26.0
3.9542,131.0,4136.0,25.0
4.1691,272.0,3460.0,20.0
5.0,1.0,572.0,55.0
3.5489,317.0,5513.0,30.0
3.9529,1806.0,46482.0,22.0
4.4984,929.0,18814.0,35.0
4.5106,2258.0,25266.0,6.0
4.1429,7.0,996.0,55.0
4.3636,11.0,780.0,90.0
4.3478,23.0,1795.0,260.0
4.3929,1672.0,44031.0,23.0
4.5432,729.0,36657.0,30.0
3.8457,486.0,7177.0,27.5
4.2649,1457.0,56192.0,21.0
3.5896,173.0,1887.0,110.0
3.9115,418.0,7575.0,40.0
4.3919,5746.0,281096.0,31.0
3.9758,248.0,10058.0,45.0
4.4466,103.0,5433.0,39.0
4.8627,51.0,2771.0,107.0
4.0813,4959.0,205338.0,31.0
3.5789,95.0,3745.0,36.0
4.717,159.0,4953.0,49.0
4.2828,343.0,5095.0,32.0
4.1848,276.0,9182.0,30.0
4.2343,1323.0,32826.0,33.0
3.6458,48.0,2717.0,110.0
4.4556,1800.0,28437.0,6.0
4.2024,573.0,33645.0,62.0
3.8743,3516.0,92164.0,34.0
4.4379,2546.0,74864.0,12.0
4.4327,721.0,26930.0,9.0
4.7754,7968.0,239921.0,54.0
4.141,454.0,6917.0,22.0
4.1353,207.0,6317.0,32.0
4.543,186.0,5243.0,24.0
3.871,31.0,1114.0,29.0
4.2889,90.0,2613.0,30.0
4.4032,62.0,7182.0,33.0
4.2453,371.0,6509.0,55.0
4.3867,150.0,11262.0,25.0
4.1391,640.0,9104.0,49.5
4.2805,82.0,4862.0,125.0
4.4618,288.0,7436.0,75.0
3.4286,28.0,8180.0,21.0
4.5333,45.0,3615.0,23.0
3.964,973.0,30130.0,36.0
4.6739,92.0,4053.0,32.0
4.75,12.0,378.0,115.0
4.6538,26.0,277.0,62.0
4.5,24.0,217.0,62.0
4.5833,36.0,251.0,62.0
4.7273,22.0,206.0,62.0
4.7242,330.0,4635.0,66.0
4.5327,1500.0,54300.0,16.0
4.2566,378.0,4288.0,28.0
4.1794,1232.0,12730.0,30.0
4.2053,151.0,3216.0,24.0
4.2734,128.0,6148.0,30.0
4.2962,547.0,15071.0,34.0
4.426,392.0,14353.0,34.0
4.2308,26.0,1070.0,45.0
4.3103,58.0,3033.0,32.0
4.5227,132.0,4660.0,30.0
4.4837,153.0,3303.0,73.0
4.3571,168.0,4312.0,72.0
4.4118,68.0,2464.0,36.0
4.5274,146.0,8495.0,36.0
5.0,22.0,4753.0,72.0
4.3332,2185.0,78884.0,26.0
4.601,203.0,12734.0,40.0
4.3495,412.0,33845.0,28.0
3.9628,215.0,14891.0,28.0
4.1553,161.0,6744.0,58.0
4.0931,333.0,14363.0,52.0
4.4055,582.0,48489.0,25.0
4.6911,382.0,25291.0,42.0
4.194,974.0,37752.0,46.0
4.1316,760.0,21892.0,50.0
4.4008,267.0,8126.0,30.0
4.3283,1133.0,37549.0,25.0
4.4554,112.0,4559.0,45.0
4.1114,341.0,7542.0,76.0
4.371,345.0,18639.0,28.0
4.5267,131.0,5615.0,28.0
4.527,74.0,5349.0,25.0
4.6146,96.0,8470.0,25.0
4.4156,308.0,33096.0,25.0
4.4381,105.0,8772.0,25.0
4.5522,335.0,30567.0,28.0
